PRG
CDG TXL 0 1
PRG CDG 0 10
PRG LHR 0 70
PRG TXL 0 100
PRG BCN 0 50
PRG PRG 0 10
BCN TXL 1 20
BCN LHR 1 20
BCN PRG 1 30
CDG LHR 1 30
LHR CDG 1 110
TXL BCN 1 100
BCN PRG 2 100
BCN LHR 2 100
CDG PRG 2 30
CDG BCN 2 30
LHR BCN 2 10
PRG TXL 2 30
TXL BCN 2 10
TXL CDG 2 10
TXL PRG 2 10
BCN LHR 3 100
BCN PRG 3 100
BCN TXL 3 100
CDG PRG 3 30
CDG LHR 3 30
LHR PRG 3 10
LHR CDG 3 10
PRG TXL 3 30
TXL BCN 3 10
TXL PRG 3 10
BCN LHR 4 100
BCN PRG 4 100
CDG PRG 4 30
LHR PRG 4 10
PRG TXL 4 30
TXL BCN 4 10
TXL PRG 4 10
