AAA
AAA EEE 0 20
EEE BBB 1 20
BBB DDD 2 20
DDD CCC 3 20
CCC AAA 4 20
AAA BBB 0 10
AAA CCC 0 5
AAA DDD 0 25
BBB CCC 1 10
BBB CCC 2 25
BBB CCC 3 30
BBB DDD 1 5
BBB DDD 3 10
BBB EEE 1 5
BBB EEE 2 20
BBB EEE 3 10
CCC BBB 1 30
CCC BBB 2 5
CCC BBB 3 15
CCC DDD 1 20
CCC DDD 2 10
CCC DDD 3 10
CCC EEE 1 30
CCC EEE 2 5
CCC EEE 3 20
DDD BBB 1 15
DDD BBB 2 5
DDD BBB 3 15
DDD CCC 1 20
DDD CCC 2 30
DDD EEE 1 10
DDD EEE 2 15
DDD EEE 3 10
EEE BBB 2 5
EEE BBB 3 15
EEE CCC 1 10
EEE CCC 2 30
EEE CCC 3 5
EEE DDD 1 20
EEE DDD 2 15
EEE DDD 3 5
BBB AAA 4 5
DDD AAA 4 15
EEE AAA 4 10
